,loss,accuracy,val_loss,val_accuracy,lr
0,0.6073344945907593,0.685555100440979,0.5745446085929871,0.7206135392189026,1e-04
1,0.4920440912246704,0.7753252387046814,0.47816622257232666,0.7844382524490356,0.00505
2,0.4733436405658722,0.786468505859375,0.4728693962097168,0.7841723561286926,0.01
3,0.46670854091644287,0.7905524969100952,0.469875305891037,0.7869957685470581,0.00505
4,0.46384745836257935,0.7923784852027893,0.4681759774684906,0.7894773483276367,1e-04
5,0.46549955010414124,0.7912931442260742,0.4692542850971222,0.7898191809654236,0.00505
6,0.46750879287719727,0.7900410890579224,0.4703512489795685,0.7882872223854065,0.01
7,0.46438267827033997,0.7918685674667358,0.46814465522766113,0.7891228199005127,0.00505
8,0.46194517612457275,0.7933006882667542,0.46700578927993774,0.7899014949798584,1e-04
9,0.4640716314315796,0.791912853717804,0.4676976501941681,0.7890974879264832,0.00505
10,0.46668556332588196,0.7902281880378723,0.47015365958213806,0.787514865398407,0.01
11,0.46394699811935425,0.7920106053352356,0.46887242794036865,0.7903509736061096,0.00505
12,0.4615006148815155,0.7934104204177856,0.46679985523223877,0.7902876734733582,1e-04
13,0.4637134373188019,0.7922722697257996,0.468763142824173,0.7908510565757751,0.00505
14,0.4664117693901062,0.7903189659118652,0.4703325033187866,0.7866032719612122,0.01
15,0.46374860405921936,0.7923468351364136,0.4681805670261383,0.7886607050895691,0.00505
16,0.4613588750362396,0.7935623526573181,0.4667991101741791,0.7907624244689941,1e-04
17,0.4636336863040924,0.7920915484428406,0.4682490825653076,0.7904775738716125,0.00505
18,0.46640685200691223,0.7904469966888428,0.47219201922416687,0.7844318747520447,0.01
19,0.46370789408683777,0.7922800183296204,0.4687820076942444,0.7872933149337769,0.00505
