,loss,accuracy,val_loss,val_accuracy,lr
0,0.5297897458076477,0.7482393980026245,0.5020265579223633,0.7684219479560852,0.001
1,0.49193906784057617,0.7747899889945984,0.488284170627594,0.777746856212616,0.001
2,0.482384592294693,0.7806521058082581,0.48211178183555603,0.7811463475227356,0.001
3,0.47717493772506714,0.7835606932640076,0.478191077709198,0.7820579409599304,0.001
4,0.47378864884376526,0.7854598760604858,0.47565707564353943,0.7832037806510925,0.001
5,0.47135329246520996,0.7868202328681946,0.47360706329345703,0.7853308320045471,0.001
6,0.46952348947525024,0.7879048585891724,0.47212880849838257,0.7858689427375793,0.001
7,0.46810805797576904,0.7887208461761475,0.47086337208747864,0.7864766716957092,0.001
8,0.46693798899650574,0.7893018126487732,0.46989119052886963,0.787388265132904,0.001
9,0.46598541736602783,0.7898589372634888,0.469226598739624,0.7873945832252502,0.001
10,0.46518903970718384,0.7903759479522705,0.4689384996891022,0.7864639759063721,0.001
11,0.46452176570892334,0.790890097618103,0.4681767523288727,0.7893760800361633,0.001
12,0.463934063911438,0.7909801602363586,0.4677245616912842,0.7885657548904419,0.001
13,0.4634321630001068,0.7913557887077332,0.4677061140537262,0.7897685766220093,0.001
14,0.4630017578601837,0.7917805910110474,0.4669031798839569,0.7893950343132019,0.001
15,0.46262073516845703,0.792001485824585,0.4666118621826172,0.7891228199005127,0.001
16,0.46230050921440125,0.7921344041824341,0.46619531512260437,0.7889392375946045,0.001
17,0.4619784355163574,0.7922596335411072,0.46605047583580017,0.7893317341804504,0.001
18,0.4617115557193756,0.7924544811248779,0.4659368097782135,0.7885910868644714,0.001
19,0.4614841341972351,0.7926697134971619,0.46599864959716797,0.7882365584373474,0.001
20,0.4612784683704376,0.7927907109260559,0.4655737280845642,0.7900344133377075,0.001
21,0.4610852003097534,0.7928019762039185,0.4653339684009552,0.7892621159553528,0.001
22,0.4609033763408661,0.7929728627204895,0.46529853343963623,0.789977490901947,0.001
23,0.46072831749916077,0.7929918766021729,0.46533098816871643,0.7906168699264526,0.001
24,0.46059370040893555,0.7930973768234253,0.4653782844543457,0.7885024547576904,0.001
25,0.46048080921173096,0.7932190895080566,0.46508315205574036,0.7890595197677612,0.001
26,0.46035733819007874,0.7932226061820984,0.4648696780204773,0.7902306914329529,0.001
27,0.46023571491241455,0.7932148575782776,0.4647790789604187,0.7899141311645508,0.001
28,0.46012040972709656,0.7933682203292847,0.46472907066345215,0.7905662059783936,0.001
29,0.46004173159599304,0.7933731079101562,0.4646408259868622,0.7900724411010742,0.001
30,0.45995694398880005,0.7934181094169617,0.46456170082092285,0.7905219197273254,0.001
31,0.4598562717437744,0.7934955358505249,0.4647067189216614,0.7898698449134827,0.001
32,0.45981523394584656,0.7935313582420349,0.4645830988883972,0.7904142737388611,0.001
33,0.45975539088249207,0.7935581207275391,0.4645776152610779,0.7894963622093201,0.001
34,0.4592381715774536,0.7939351201057434,0.4643745720386505,0.789971113204956,0.000100000005
35,0.4591764807701111,0.7939731478691101,0.46434858441352844,0.7902306914329529,0.000100000005
36,0.45916515588760376,0.7940343022346497,0.46432244777679443,0.7900977730751038,0.000100000005
37,0.45915350317955017,0.7940596342086792,0.4643175005912781,0.7901167273521423,0.000100000005
38,0.45914795994758606,0.7941623330116272,0.46430540084838867,0.7902876734733582,0.000100000005
39,0.45913758873939514,0.794049084186554,0.4643213748931885,0.7895913124084473,0.000100000005
40,0.459131121635437,0.7940448522567749,0.46429282426834106,0.7902686595916748,0.000100000005
41,0.45912763476371765,0.7940575480461121,0.4642830491065979,0.79018634557724,0.000100000005
42,0.4591204524040222,0.7941151857376099,0.4642751216888428,0.7900724411010742,0.000100000005
43,0.45911383628845215,0.7940540313720703,0.4642590880393982,0.7903382778167725,0.000100000005
44,0.4591104984283447,0.7940687537193298,0.46426957845687866,0.7903319597244263,0.000100000005
45,0.4591022729873657,0.7940800189971924,0.4642717242240906,0.7899584770202637,0.000100000005
46,0.45909079909324646,0.7941046357154846,0.46427303552627563,0.7899838089942932,0.000100000005
47,0.4590308964252472,0.7941081523895264,0.4642557203769684,0.7903572916984558,1.0000001e-05
48,0.45902496576309204,0.79411381483078,0.4642556309700012,0.7903130054473877,1.0000001e-05
49,0.4590294063091278,0.7940927147865295,0.46425631642341614,0.7903382778167725,1.0000001e-05
50,0.459020733833313,0.7941341996192932,0.464255690574646,0.7903256416320801,1.0000001e-06
